Fold,Task,Moment,N,MAE,RMSE,R²,r
0,Orbital_tightening,M0,7,0.47348784123148235,0.47465955152340294,0.0,
0,Orbital_tightening,M1,7,0.4632657936641148,0.4639285606136961,0.0,
0,Orbital_tightening,M2,9,0.7410589953263601,0.7638069694205801,-22.627738371393615,-0.792438464764353
0,Orbital_tightening,M3,5,0.45819592475891113,0.4616347534233951,0.11205564346550512,0.9689833322215061
0,Orbital_tightening,M4,7,0.36076209800583975,0.40637253115419697,-5.06884552578032,-0.8737048892140753
0,Tension_above_eyes,M0,7,0.17686765108789718,0.17740854652399982,-0.1566618010136973,-0.6337795914346438
0,Tension_above_eyes,M1,7,0.27796076451029095,0.35454499132234846,-3.619554595231137,-0.9581264325728291
0,Tension_above_eyes,M2,9,0.21206589539845785,0.21556650209768508,-0.8819910193031582,-0.9339220909826232
0,Tension_above_eyes,M3,5,0.5976996302604676,0.6883106804698484,-0.9740481858744983,-0.8653276864495812
0,Tension_above_eyes,M4,7,0.09329139334814888,0.09730960124249582,0.0,
0,Cheek_tightening,M0,7,0.1746733103479658,0.17571241800185414,-0.1346508109916833,-0.4225384410970406
0,Cheek_tightening,M1,7,0.17407652309962682,0.17654343667320185,-0.14540868166846366,-0.20189478156440685
0,Cheek_tightening,M2,9,0.5816555321216583,0.6598479380005852,-3.408418056877789,0.14827913880444168
0,Cheek_tightening,M3,5,0.1737566977739334,0.1748592627210935,-0.14659099763401517,-0.3742565771449843
0,Cheek_tightening,M4,7,0.32438819323267254,0.36033455477180676,-3.7716561481625357,0.38095577921559254
0,Ears_frontal,M0,7,0.027680746146610806,0.030972526784534406,0.0,
0,Ears_frontal,M1,7,0.27810763674122946,0.28190483756610235,0.0,
0,Ears_frontal,M2,9,0.4665456745359633,0.5559397261138873,-2.1293235063608953,0.31812983661628336
0,Ears_frontal,M3,5,0.2974739968776703,0.3034475337491918,0.13674624765580679,0.9223178748504064
0,Ears_frontal,M4,7,0.1981107805456434,0.24720919668243163,-1.245880085605827,0.5782394532965374
0,Ears_lateral,M0,7,0.4665667584964207,0.4926585641212392,-7.919682402819033,0.44790571750434444
0,Ears_lateral,M1,7,0.6542066505977085,0.6542669945093328,0.0,
0,Ears_lateral,M2,9,0.5272497634092966,0.5478498419099029,-0.3506274412595056,0.7427513606290181
0,Ears_lateral,M3,5,0.6266757369041442,0.6270336518670013,0.07850505358084581,0.8795990278855562
0,Ears_lateral,M4,7,0.3495198445660727,0.3508369692953415,-0.13085797848832126,-0.6895368035703217
0,Lip_jaw_profile,M0,7,0.29344282831464497,0.3365555721163871,-3.1626595041412866,0.07613922810737768
0,Lip_jaw_profile,M1,7,0.0762745269707271,0.10070895337931975,0.0,
0,Lip_jaw_profile,M2,9,0.4910711877875858,0.494073878343524,-0.09849048767635127,0.5926343625093266
0,Lip_jaw_profile,M3,5,0.6465652763843537,0.7182978909411664,-0.2092621001032855,0.997186213305719
0,Lip_jaw_profile,M4,7,0.3041870210851942,0.3169742945515685,0.07690709247373295,0.7244707283817503
0,Nostril_muzzle,M0,7,0.18956582886832102,0.20563159836394004,-0.5539499259071621,-0.534725084462698
0,Nostril_muzzle,M1,7,0.05258244701794216,0.06695715824314695,0.0,
0,Nostril_muzzle,M2,9,0.48843448360761005,0.4918973838394409,-0.08883366302638818,0.6603387148967208
0,Nostril_muzzle,M3,5,0.45293170809745786,0.46474881265887474,0.10003558805069235,0.9927785679708508
0,Nostril_muzzle,M4,7,0.24646584476743424,0.28896629004708707,-2.068680558888846,0.7600994916334614
0,Total_Facial_scale,M0,7,1.174926485334124,1.194766254493807,-51.45937779844458,-0.6980692683086918
0,Total_Facial_scale,M1,7,1.2761438574109758,1.2961406319560365,-14.434823031079661,0.8549448553401158
0,Total_Facial_scale,M2,9,3.067473808924357,3.473478576361413,-1.1717094085691535,0.07603778011552155
